Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,53.830002,54.770000,53.830002,54.310001,53.586094,207700
2019-02-12,54.549999,55.650002,54.250000,54.720001,53.990631,212200
2019-02-13,54.720001,55.540001,54.720001,54.970001,54.237301,206000
2019-02-14,54.470001,56.419998,54.450001,56.150002,55.401569,297400
2019-02-15,56.270000,56.700001,55.299999,55.680000,54.937836,235100
2019-02-19,55.139999,56.919998,55.009998,56.259998,55.510101,209600
2019-02-20,55.959999,56.779999,55.549999,55.849998,55.105564,263500
2019-02-21,55.840000,56.130001,55.049999,55.310001,54.572765,184700
2019-02-22,55.450001,56.169998,55.299999,55.779999,55.036495,281600
2019-02-25,56.130001,56.500000,55.660000,56.040001,55.293034,189700
2019-02-26,55.830002,56.230000,55.169998,55.180000,54.444492,235000
2019-02-27,55.060001,55.450001,53.529999,54.169998,53.447956,160800
2019-02-28,54.119999,54.389999,53.049999,54.040001,53.319695,380800
2019-03-01,54.200001,54.360001,52.599998,52.889999,52.185020,271800
2019-03-04,52.910000,53.169998,51.759998,52.740002,52.037025,364700
2019-03-05,52.970001,53.380001,51.919998,51.939999,51.247684,296600
2019-03-06,51.950001,52.290001,50.689999,50.770000,50.093277,406600
2019-03-07,50.650002,50.650002,49.410000,49.770000,49.106609,355400
2019-03-08,49.380001,50.389999,49.349998,50.009998,49.343410,323200
2019-03-11,50.009998,50.700001,49.439999,50.549999,49.876209,414500
2019-03-12,50.520000,50.549999,49.709999,50.049999,49.382877,293300
2019-03-13,50.279999,51.439999,50.270000,51.090000,50.409016,620400
2019-03-14,50.939999,51.840000,50.939999,51.480000,50.793819,192400
2019-03-15,51.549999,52.430000,51.250000,51.580002,50.892483,1116600
2019-03-18,51.590000,52.150002,51.279999,51.730000,51.040485,282700
2019-03-19,51.840000,52.810001,51.680000,51.790001,51.099689,181500
2019-03-20,51.790001,52.410000,50.830002,51.740002,51.050350,232500
2019-03-21,51.490002,53.250000,51.490002,53.009998,52.303417,299900
2019-03-22,52.540001,52.540001,51.419998,51.599998,50.912212,238900
2019-03-25,51.650002,52.439999,51.150002,51.689999,51.001015,211100
2019-03-26,51.910000,52.980000,51.639999,51.910000,51.218082,236200
2019-03-27,52.020000,53.990002,52.009998,53.580002,52.865826,225700
2019-03-28,53.820000,54.299999,52.529999,53.400002,52.806492,151400
2019-03-29,53.730000,54.689999,53.610001,54.290001,53.686596,320200
2019-04-01,54.500000,55.549999,54.060001,55.180000,54.566711,201900
2019-04-02,55.599998,55.869999,54.849998,55.720001,55.100704,177100
2019-04-03,56.000000,56.959999,55.869999,56.290001,55.664375,151300
2019-04-04,56.310001,57.220001,55.849998,57.099998,56.465370,140300
2019-04-05,57.230000,58.410000,57.230000,58.090000,57.444363,165000
2019-04-08,57.820000,58.209999,57.410000,57.820000,57.177364,183900
2019-04-09,57.599998,57.880001,56.720001,57.169998,56.534584,232600
2019-04-10,57.230000,59.099998,55.810001,58.529999,57.879475,284000
2019-04-11,58.669998,59.700001,58.389999,58.759998,58.106915,137500
2019-04-12,58.830002,59.020000,58.070000,58.700001,58.047585,300500
2019-04-15,58.930000,59.560001,58.099998,58.220001,57.572922,115900
2019-04-16,58.689999,59.500000,58.470001,59.230000,58.571693,123600
2019-04-17,59.709999,60.000000,58.990002,59.639999,58.977135,219000
2019-04-18,59.500000,59.830002,58.560001,59.250000,58.591473,387000
2019-04-22,58.849998,59.240002,58.529999,58.799999,58.146473,174400
2019-04-23,58.770000,59.990002,58.619999,59.880001,59.214470,171800
2019-04-24,59.970001,60.500000,59.400002,59.720001,59.056252,227600
2019-04-25,59.590000,59.660000,57.849998,58.439999,57.790478,281200
2019-04-26,59.970001,60.639999,56.049999,60.369999,59.699020,439700
2019-04-29,60.630001,61.779999,59.869999,61.619999,60.935127,242000
2019-04-30,61.740002,62.160000,60.840000,61.590000,60.905464,440500
2019-05-01,61.810001,61.830002,60.110001,60.130001,59.461693,362200
2019-05-02,60.049999,61.189999,58.009998,60.150002,59.481468,114200
2019-05-03,60.419998,61.869999,60.419998,61.779999,61.093349,212500
2019-05-06,60.669998,61.790001,60.020000,61.549999,60.865910,188100
2019-05-07,60.810001,60.970001,59.709999,60.529999,59.857243,214400
2019-05-08,60.279999,60.799999,59.599998,59.779999,59.115578,142400
2019-05-09,59.180000,60.369999,58.750000,60.220001,59.550690,125300
2019-05-10,59.930000,60.810001,58.680000,60.669998,59.995689,122300
2019-05-13,59.480000,59.480000,58.230000,58.570000,57.919025,196000
2019-05-14,58.630001,59.230000,58.160000,58.990002,58.334362,125100
2019-05-15,58.340000,59.459999,58.000000,59.090000,58.433250,145700
2019-05-16,59.209999,60.080002,58.970001,59.660000,58.996914,196600
2019-05-17,59.130001,60.430000,59.070000,59.570000,58.907909,160400
2019-05-20,58.970001,59.619999,58.349998,59.080002,58.423363,94500
2019-05-21,59.310001,60.639999,59.000000,60.400002,59.728691,115100
2019-05-22,60.060001,60.150002,59.369999,59.450001,58.789249,139400
2019-05-23,58.790001,59.680000,58.070000,59.230000,58.571693,190800
2019-05-24,59.529999,60.189999,59.450001,59.950001,59.283688,104500
2019-05-28,60.080002,60.720001,59.630001,59.810001,59.145252,187100
2019-05-29,59.689999,59.740002,58.869999,59.250000,58.591473,286400
2019-05-30,59.439999,59.790001,58.830002,59.220001,58.561806,285400
2019-05-31,58.540001,59.310001,58.400002,58.720001,58.067360,438400
2019-06-03,58.509998,59.669998,57.840000,58.080002,57.434479,235200
2019-06-04,58.849998,61.279999,58.849998,61.230000,60.549465,212200
